2.mp3/0.000000/2.153313/Page 6 (Trang 6)|words=0.000000,0.520000;
2.mp3/2.153313/3.874938/Lesson 1 (Bài học 1)|words=2.153313,2.573313;
2.mp3/3.874938/6.309312/Activity 2 (Hoạt động 2)|words=3.874938,4.514938;
2.mp3/6.309312/11.453250/Listen, point and say (Nghe, chỉ và nói!)|words=6.309312,7.289312,7.729312,8.469312;
2.mp3/11.453250/13.119312/Hey (Chào.)|words=11.453250;
2.mp3/13.119312/18.070563/in Chen Hong Dao Street (ở đường Chen Hong Dao.)|words=13.119312,13.379312,13.859312,14.359312,15.019312;
2.mp3/18.070563/19.807938/B (B)|words=18.070563;
2.mp3/19.807938/23.914250/in Kwangchung Road (ở đường Kwangchung.)|words=19.807938,20.027938,21.067938;
2.mp3/23.914250/25.730563/See (Nhìn này.)|words=23.914250;
2.mp3/25.730563/31.789875/at 81 Chen Hongdao Street (tại số 81 đường Chen Hongdao.)|words=25.730563,26.050563,26.970563,27.870563,28.830563;
2.mp3/31.789875/33.654438/D (D)|words=31.789875;
2.mp3/33.654438/38.554063/at 9 Kwong Chung Road (tại số 9 đường Kwong Chung.)|words=33.654438,33.914438,34.394438,35.134438,35.494438;
2.mp3/38.554063/40.144500/Hey (Chào.)|words=38.554063;
2.mp3/40.144500/43.621375/Where do you live (Bạn sống ở đâu?)|words=40.144500,40.564500,40.844500,41.084500;
2.mp3/43.621375/49.256062/I live in Chen Hongdao Street (Tôi sống ở đường Chen Hongdao.)|words=43.621375,43.921375,44.321375,45.041375,45.561375,46.401375;
2.mp3/49.256062/50.848688/Be (B)|words=49.256062;
2.mp3/50.848688/54.063375/Where do you live (Bạn sống ở đâu?)|words=50.848688,51.148688,51.388688,51.668688;
2.mp3/54.063375/58.889063/I live in Quangchung Road (Tôi sống ở đường Quangchung.)|words=54.063375,54.323375,54.623375,55.103375,56.003375;
2.mp3/58.889063/60.745625/See (Nhìn này.)|words=58.889063;
2.mp3/60.745625/63.817062/Where do you live (Bạn sống ở đâu?)|words=60.745625,61.085625,61.305625,61.545625;
2.mp3/63.817062/70.645250/I live at 81 Chen Hong Dao Street (Tôi sống tại số 81 đường Chen Hong Dao.)|words=63.817062,64.057062,64.357062,65.097062,66.037062,66.937062,67.297062,67.777062;
2.mp3/70.645250/72.904438/D (D)|words=70.645250;
2.mp3/72.904438/76.012812/Where do you live (Bạn sống ở đâu?)|words=72.904438,73.224438,73.424438,73.644438;
2.mp3/76.012812/82.964938/I live at 9 Kwang Chung Road (Tôi sống tại số 9 đường Kwang Chung.)|words=76.012812,76.212812,76.552812,77.292812,77.712812,78.552812,78.872812;
