6.mp3/0.000000/2.252563/Page 9 (Trang 9)|words=0.000000,0.600000;
6.mp3/2.252563/4.181813/Lesson 2 (Bài học 2)|words=2.252563,2.712563;
6.mp3/4.181813/6.684813/Activity 4 (Hoạt động 4)|words=4.181813,4.841813;
6.mp3/6.684813/10.687750/Listen and Tick (Nghe và đánh dấu!)|words=6.684813,7.144813,8.064813;
6.mp3/10.687750/12.286437/one (một.)|words=10.687750;
6.mp3/12.286437/15.127125/Where do you live (Bạn sống ở đâu?)|words=12.286437,12.606437,12.926437,13.246437;
6.mp3/15.127125/18.407000/I live in a city (Tôi sống ở một thành phố.)|words=15.127125,15.427125,15.827125,16.347125,16.567125;
6.mp3/18.407000/21.862000/What's the city like (Thành phố đó như thế nào?)|words=18.407000,19.027000,19.187000,19.587000;
6.mp3/21.862000/26.162250/It's a big city (Đó là một thành phố lớn!)|words=21.862000,22.302000,22.562000,23.022000;
6.mp3/26.162250/27.927688/2 (2)|words=26.162250;
6.mp3/27.927688/31.132438/Where do you live (Bạn sống ở đâu?)|words=27.927688,28.267688,28.627688,28.887688;
6.mp3/31.132438/34.943250/I live in High Street (Tôi sống ở High Street.)|words=31.132438,31.432438,31.852438,32.512438,32.972438;
6.mp3/34.943250/38.722563/What's the street like (Con phố đó như thế nào?)|words=34.943250,35.503250,35.723250,36.243250;
6.mp3/38.722563/44.643250/It's a quiet street (Đó là một con phố yên tĩnh.)|words=38.722563,39.242563,39.542563,40.242563;
