13.mp3/0.656938/2.922875/Page 13 (Trang 13.)|words=0.656938,1.016938;
13.mp3/2.922875/4.714688/Lesson 1 (Bài học 1.)|words=2.922875,3.422875;
13.mp3/4.714688/7.175375/Activity 4 (Hoạt động 4)|words=4.714688,5.374688;
13.mp3/7.175375/12.288625/Listen and Tick or Cross (Nghe và đánh dấu hoặc khoanh tròn.)|words=7.175375,7.615375,8.435375,8.975375,9.455375;
13.mp3/12.288625/14.065125/one (một.)|words=12.288625;
13.mp3/14.065125/20.756812/What does your mother do? She's a farmer (Mẹ của bạn làm nghề gì? Mẹ là một nông dân.)|words=14.065125,14.405125,14.965125,15.305125,15.825125,17.784875,18.484875,18.804875;
13.mp3/21.803125/23.431750/2 (2.)|words=21.803125;
13.mp3/23.431750/31.647875/What does your father do? He's a policeman (Bố của bạn làm nghề gì? Bố là một cảnh sát.)|words=23.431750,23.771750,24.311750,24.651750,25.231750,27.522562,28.122562,28.442562;
13.mp3/31.647875/33.722563/3 (3.)|words=31.647875;
13.mp3/33.722563/41.194313/Is your mother an office worker? Yes, she is (Mẹ của bạn có phải là nhân viên văn phòng không? Có, mẹ là.)|words=33.722563,33.982563,34.262563,34.722563,35.302563,35.802563,38.106563,38.926563,39.146563;
13.mp3/41.194313/41.946500/Thank you (Cảm ơn.)|words=41.194313,41.914313;
13.mp3/41.946500/43.841687/full (đầy.)|words=41.946500;
13.mp3/43.841687/52.506125/What does your father do? He's a farmer (Bố của bạn làm nghề gì? Bố là một nông dân!)|words=43.841687,44.201687,44.681687,44.961687,45.541687,47.571188,48.171188,48.451188;
