5.mp3/0.000000/2.139625/Page 8 (Trang 8)|words=0.000000,0.660000;
5.mp3/2.139625/4.013313/Lesson 2 (Bài học 2)|words=2.139625,2.639625;
5.mp3/4.013313/6.639750/Activity 2 (Hoạt động 2)|words=4.013313,4.693313;
5.mp3/6.639750/11.551312/Listen, point and say (Nghe, chỉ và nói!)|words=6.639750,7.779750,8.119750,8.879750;
5.mp3/11.551312/13.170750/Hey (Chào.)|words=11.551312;
5.mp3/13.170750/16.895375/of Busy Street (Trên đường phố tấp nập.)|words=13.170750,13.310750,13.850750;
5.mp3/16.895375/18.511188/B (B)|words=16.895375;
5.mp3/18.511188/22.051500/a quiet village (Một ngôi làng yên tĩnh.)|words=18.511188,18.651188,19.191188;
5.mp3/22.051500/23.943438/See (Nhìn này.)|words=22.051500;
5.mp3/23.943438/27.737813/a noisy road (Một con đường ồn ào.)|words=23.943438,24.083438,24.663438;
5.mp3/27.737813/29.548313/D (D)|words=27.737813;
5.mp3/29.548313/33.100625/a big city (Một thành phố lớn.)|words=29.548313,29.708313,30.168313;
5.mp3/33.100625/34.736187/A (A)|words=33.100625;
5.mp3/34.736187/38.570687/What's the street like (Con phố này như thế nào?)|words=34.736187,35.296187,35.576187,36.276187;
5.mp3/38.570687/43.339937/It's a busy street (Đây là một con phố tấp nập.)|words=38.570687,39.050687,39.370687,39.910687;
5.mp3/43.339937/45.023500/B (B)|words=43.339937;
5.mp3/45.023500/48.435187/What's the village like (Ngôi làng này như thế nào?)|words=45.023500,45.623500,45.983500,46.603500;
5.mp3/48.435187/53.292437/It's a quiet village (Đây là một ngôi làng yên tĩnh.)|words=48.435187,48.935187,49.355187,49.995187;
5.mp3/53.292437/55.275000/C (C)|words=53.292437;
5.mp3/55.275000/58.672125/What's the road like (Con đường này như thế nào?)|words=55.275000,55.895000,56.255000,56.875000;
5.mp3/58.672125/63.199875/It's a noisy road (Đây là một con đường ồn ào.)|words=58.672125,59.152125,59.492125,60.172125;
5.mp3/63.199875/65.465812/D (D)|words=63.199875;
5.mp3/65.465812/68.905625/What's the city like (Thành phố này như thế nào?)|words=65.465812,66.085812,66.485812,67.065812;
5.mp3/68.905625/74.527375/It's a big city (Đây là một thành phố lớn!)|words=68.905625,69.385625,69.725625,70.265625;
