1.mp3/0.000000/2.517438/Unit 11 (Bài 11)|words=0.000000,0.780000;
1.mp3/2.517438/4.564500/My home (Ngôi nhà của tôi.)|words=2.517438,2.917438;
1.mp3/4.564500/6.446438/Page 6 (Trang 6.)|words=4.564500,4.904500;
1.mp3/6.446438/8.168000/Lesson 1 (Bài học 1)|words=6.446438,6.866438;
1.mp3/8.168000/10.622000/Activity 1 (Hoạt động 1.)|words=8.168000,8.788000;
1.mp3/10.622000/15.391375/Look, listen, and repeat (Nhìn, nghe và lặp lại.)|words=10.622000,11.522000,12.542000,12.882000;
1.mp3/15.391375/16.927125/A (A.)|words=15.391375;
1.mp3/16.927125/21.577562/My birthday party is on Sunday (Bữa tiệc sinh nhật của tôi là vào Chủ nhật!)|words=16.927125,17.247125,17.907125,18.767125,19.307125,19.607125;
1.mp3/21.577562/25.186000/Can you come to my party (Bạn có thể đến bữa tiệc của tôi không?)|words=21.577562,21.777562,22.017562,22.357562,22.677562,22.877562;
1.mp3/25.186000/28.949875/Yes, I can (Có, tôi có thể!)|words=25.186000,25.926000,26.106000;
1.mp3/28.949875/30.543063/B (B)|words=28.949875;
1.mp3/30.543063/34.027563/Where do you live (Bạn sống ở đâu?)|words=30.543063,30.963063,31.303063,31.543063;
1.mp3/34.027563/40.515937/I live in Chan Hung Dao Street (Tôi sống trên đường Chân Hưng Đạo.)|words=34.027563,34.287563,34.587563,35.147563,35.547563,35.967563,36.567563;
