46.mp3/0.000000/2.684063/Unit 5 (Bài 5)|words=0.000000,0.760000;
46.mp3/2.684063/5.633188/Things We Can Do (Những điều chúng ta có thể làm)|words=2.684063,3.124063,3.624063,3.944063;
46.mp3/5.633188/8.025562/Page 34 (Trang 34.)|words=5.633188,6.113188;
46.mp3/8.025562/9.953812/Lesson 1 (Bài học 1)|words=8.025562,8.565562;
46.mp3/9.953812/12.587500/Activity 1 (Hoạt động 1.)|words=9.953812,10.633812;
46.mp3/12.587500/13.635750/Look (Nhìn này.)|words=12.587500;
46.mp3/13.635750/18.049875/Listen and repeat (Nghe và lặp lại.)|words=13.635750,14.075750,14.975750;
46.mp3/18.049875/19.743938/A (A.)|words=18.049875;
46.mp3/19.743938/23.640438/I can fly a kite (Tôi có thể thả diều.)|words=19.743938,20.063938,20.483938,21.083938,21.483938;
46.mp3/23.640438/28.021313/I can skip (Tôi có thể nhảy dây)|words=23.640438,24.020438,24.420438;
46.mp3/28.021313/29.742688/B (B)|words=28.021313;
46.mp3/29.742688/33.467062/Can you ride a bike (Bạn có thể đi xe đạp không?)|words=29.742688,30.062688,30.462688,31.042688,31.422688;
46.mp3/33.467062/36.268062/Yes! I can (Có! Tôi có thể!)|words=33.467062,34.207062,34.427062;
46.mp3/36.268062/41.717562/No, I can't (Không, tôi không thể.)|words=36.268062,37.288062,37.548062;
