57.mp3/0.610250/2.718313/Unit 6 (Bài 6)|words=0.610250,0.990250;
57.mp3/2.718313/5.600937/our school facilities (các cơ sở vật chất của trường chúng ta.)|words=2.718313,3.018313,3.558313;
57.mp3/5.600937/8.141063/page 44 (trang 44.)|words=5.600937,6.080937;
57.mp3/8.141063/10.204937/Lesson 1 (Bài học 1)|words=8.141063,8.661063;
57.mp3/10.204937/13.071125/Activity 1 (Hoạt động 1.)|words=10.204937,10.884937;
57.mp3/13.071125/14.110625/Look (Nhìn này!)|words=13.071125;
57.mp3/14.110625/18.425000/Listen and repeat (Nghe và lặp lại.)|words=14.110625,14.570625,15.530625;
57.mp3/18.425000/20.143625/Hey (Chào!)|words=18.425000;
57.mp3/20.143625/24.089813/Where's your school, Lucy (Trường của bạn ở đâu, Lucy?)|words=20.143625,20.683625,20.983625,21.983625;
57.mp3/24.089813/28.396438/It's in the city (Nó ở trong thành phố!)|words=24.089813,24.549813,24.909813,25.149813;
57.mp3/28.396438/30.119625/B (B)|words=28.396438;
57.mp3/30.119625/34.606063/And where's your school, Hung (Còn trường của bạn ở đâu, Hùng?)|words=30.119625,30.559625,31.379625,31.719625,32.719625;
57.mp3/34.606063/40.280813/It's in the mountains (Nó ở trên núi.)|words=34.606063,35.046063,35.326063,35.566063;
