150.mp3/0.000000/1.009500/You (Bạn)|words=0.000000;
150.mp3/1.009500/3.931875/Listening 150 (Nghe 150.)|words=1.009500,1.389500;
150.mp3/3.931875/6.941250/Listen and number (Nghe và đánh số.)|words=3.931875,4.351875,5.011875;
150.mp3/6.941250/8.163250/Hello (Xin chào.)|words=6.941250;
150.mp3/8.163250/10.495062/My name is Thu (Tên tôi là Thu.)|words=8.163250,8.503250,8.903250,9.403250;
150.mp3/10.495062/16.502250/I go to Duan Ti Diem Primary School (Tôi học ở trường tiểu học Duan Ti Diem.)|words=10.495062,10.735062,11.055062,11.415062,12.015062,12.475062,13.035062,13.615062;
150.mp3/16.502250/17.978063/one (một)|words=16.502250;
150.mp3/17.978063/20.034562/Can you see me (Bạn có nhìn thấy tôi không?)|words=17.978063,18.178063,18.438063,18.798063;
150.mp3/20.034562/22.882500/I have long hair (Tôi có mái tóc dài.)|words=20.034562,20.294562,20.634562,21.154562;
150.mp3/22.882500/25.852750/It's black (Nó màu đen.)|words=22.882500,23.102500;
150.mp3/25.852750/27.430187/too (cũng)|words=25.852750;
150.mp3/27.430187/31.323688/Our teacher is Ms. Luan (Giáo viên của chúng tôi là cô Luan.)|words=27.430187,27.650187,28.210187,29.030187,29.590187;
150.mp3/31.323688/35.900312/She has long hair, too (Cô ấy cũng có mái tóc dài.)|words=31.323688,31.663688,32.083688,32.583688,33.143688;
150.mp3/35.900312/37.525063/3 (3)|words=35.900312;
150.mp3/37.525063/45.836750/My friend is done. He has short black hair (Bạn của tôi xong rồi. Cậu ấy có mái tóc đen ngắn.)|words=37.525063,37.825063,38.405063,39.105063,40.874187,41.094187,41.514187,42.749625,43.089625;
150.mp3/45.836750/47.499375/four (bốn)|words=45.836750;
150.mp3/47.499375/53.839813/We have a big board in our classroom (Chúng tôi có một bảng lớn trong lớp học.)|words=47.499375,47.799375,48.279375,48.759375,49.299375,49.979375,50.419375,50.599375;
150.mp3/53.839813/55.452688/5 (5)|words=53.839813;
150.mp3/55.452688/61.180375/There are two windows in the classroom (Có hai cửa sổ trong phòng học.)|words=55.452688,55.712688,55.992688,56.492688,57.252688,57.832688,58.072688;
150.mp3/61.180375/62.907500/Six (Sáu)|words=61.180375;
150.mp3/62.907500/66.721063/There is one door (Có một cánh cửa.)|words=62.907500,63.147500,63.487500,63.947500;
150.mp3/66.721063/68.485500/7 (7)|words=66.721063;
150.mp3/68.485500/74.422875/There is a poster on the wall (Có một tấm áp phích trên tường.)|words=68.485500,68.745500,69.105500,69.405500,69.985500,70.565500,70.845500;
