028.mp3/0.000000/1.069688/You (Bạn)|words=0.000000;
028.mp3/1.069688/3.485438/Listening 28 (Nghe 28)|words=1.069688,1.429688;
028.mp3/3.485438/6.775563/Listen and point (Nghe và chỉ.)|words=3.485438,3.865438,4.365438;
028.mp3/6.775563/8.951063/Let us see (Chúng ta hãy xem.)|words=6.775563,7.035563,7.255563;
028.mp3/11.319062/14.083063/letter D (chữ D)|words=11.319062,11.699062;
028.mp3/16.564937/18.964938/letter C (chữ C)|words=16.564937,16.904937;
028.mp3/21.193562/23.545063/letter D (chữ D)|words=21.193562,21.573562;
028.mp3/25.881500/29.162375/Listen and repeat (Nghe và lặp lại.)|words=25.881500,26.241500,26.741500;
028.mp3/29.162375/31.233563/Let her see (Hãy để cô ấy xem.)|words=29.162375,29.482375,29.682375;
028.mp3/31.233563/32.810812/Thank you very much for watching, and I'll see you in the next video (Cảm ơn rất nhiều vì đã xem, và chúng ta sẽ gặp lại trong video tiếp theo.)|words=31.233563,31.233563,32.153563,32.153563,32.153563,32.153563,32.713563,32.733563,32.753563,32.753563,32.773563,32.773563,32.773563,32.773563;
028.mp3/34.114875/36.705250/Cat (Mèo)|words=34.114875;
028.mp3/36.705250/38.843250/Letter D (Chữ D)|words=36.705250,37.145250;
028.mp3/38.843250/40.641188/d (d)|words=38.843250;
028.mp3/42.334437/44.785938/Doug (Doug)|words=42.334437;
028.mp3/44.785938/46.693188/Let us see (Chúng ta hãy xem.)|words=44.785938,45.045938,45.225938;
028.mp3/49.795875/52.104688/Cookie (Bánh quy)|words=49.795875;
028.mp3/52.104688/54.140000/Letter D (Chữ D)|words=52.104688,52.524688;
028.mp3/57.233125/60.813063/Desk (Bàn học)|words=57.233125;
