151.mp3/0.000000/1.044000/You (Bạn)|words=0.000000;
151.mp3/1.044000/4.188313/Listening 151 (Nghe bài 151.)|words=1.044000,1.444000;
151.mp3/4.188313/7.917250/Listen and write (Nghe và viết.)|words=4.188313,4.628313,5.468313;
151.mp3/7.917250/9.494750/one (một.)|words=7.917250;
151.mp3/9.494750/15.740938/Where's the dog? It's on the rug (Con chó ở đâu? Nó ở trên tấm thảm.)|words=9.494750,10.094750,10.294750,12.028187,12.568187,12.888187,13.328187;
151.mp3/15.740938/17.076625/to (đến.)|words=15.740938;
151.mp3/17.076625/24.038937/Where's the computer? It's under the cabinet (Máy tính ở đâu? Nó ở dưới tủ.)|words=17.076625,17.636625,17.796625,19.642875,20.082875,20.642875,21.022875;
151.mp3/24.038937/25.630437/3 (3.)|words=24.038937;
151.mp3/25.630437/32.766750/Where are my blankets? They are on the shelf (Những chiếc chăn của tôi ở đâu? Chúng ở trên kệ!)|words=25.630437,26.110437,26.650437,26.950437,29.195438,29.475438,29.795438,30.135438,30.315438;
151.mp3/32.766750/34.368813/4 (4.)|words=32.766750;
151.mp3/34.368813/42.271937/Where are the three books? They're under the drawers (Ba cuốn sách ở đâu? Chúng ở dưới ngăn kéo.)|words=34.368813,34.768813,35.188813,35.368813,35.828813,37.842750,38.402750,38.842750,39.322750;
151.mp3/42.271937/43.846500/five (năm.)|words=42.271937;
151.mp3/43.846500/50.436500/Where's the audio guide? It's on the bed (Thiết bị hướng dẫn âm thanh ở đâu? Nó ở trên giường.)|words=43.846500,44.486500,44.726500,45.386500,47.229688,47.549688,47.729688,47.969688;
151.mp3/50.436500/52.112750/six (sáu.)|words=50.436500;
151.mp3/52.112750/60.029375/Where's the pillow? It's under the blankets (Gối ở đâu? Nó ở dưới chăn.)|words=52.112750,52.692750,52.892750,54.746063,55.226063,55.606063,55.966063;
