067.mp3/0.000000/1.078875/You (Bạn)|words=0.000000;
067.mp3/1.078875/3.219250/listening 67 (đang nghe 67)|words=1.078875,1.438875;
067.mp3/3.219250/9.231312/Listen and draw a smiley face or a sad face (Nghe và vẽ một khuôn mặt cười hoặc một khuôn mặt buồn.)|words=3.219250,3.559250,4.159250,4.639250,4.879250,5.439250,5.739250,6.519250,7.019250,7.459250;
067.mp3/9.231312/10.793125/one (một)|words=9.231312;
067.mp3/10.793125/13.401438/Let's look at the menu (Hãy xem thực đơn nhé.)|words=10.793125,11.293125,11.633125,11.933125,12.073125;
067.mp3/13.401438/15.266063/What do you like (Bạn thích gì?)|words=13.401438,13.601438,13.841438,13.981438;
067.mp3/15.266063/18.549000/Well, I like yogurt (Ừm, tôi thích sữa chua.)|words=15.266063,16.266063,16.466063,16.766063;
067.mp3/18.549000/19.967125/too (cũng vậy.)|words=18.549000;
067.mp3/19.967125/23.021563/I don't like ice cream (Tôi không thích kem.)|words=19.967125,20.087125,20.607125,20.847125,21.207125;
067.mp3/23.021563/24.532875/3 (3)|words=23.021563;
067.mp3/24.532875/26.246063/I like bread (Tôi thích bánh mì.)|words=24.532875,24.672875,24.952875;
067.mp3/26.246063/29.416313/because I like sandwiches (vì tôi thích ăn bánh mì sandwich.)|words=26.246063,26.546063,26.966063,27.306063;
067.mp3/29.416313/30.955000/4 (4)|words=29.416313;
067.mp3/30.955000/32.010562/Okay (Được rồi.)|words=30.955000;
067.mp3/32.010562/33.585437/What else (Còn gì nữa?)|words=32.010562,32.230562;
067.mp3/33.585437/34.918687/mmm (mmm)|words=33.585437;
067.mp3/34.918687/39.235937/I don't like meat (Tôi không thích thịt.)|words=34.918687,35.038687,35.458687,35.638687;
