046.mp3/0.000000/1.002375/You (Bạn)|words=0.000000;
046.mp3/1.002375/3.210313/Listening 46 (Nghe bài 46.)|words=1.002375,1.382375;
046.mp3/3.210313/6.894938/Listen and point (Nghe và chỉ.)|words=3.210313,3.570313,4.110313;
046.mp3/6.894938/9.298875/paint (sơn)|words=6.894938;
046.mp3/9.298875/12.340625/light blue (xanh nhạt)|words=9.298875,9.558875;
046.mp3/12.340625/15.235125/dark blue (xanh đậm)|words=12.340625,12.580625;
046.mp3/15.235125/17.839688/black (đen)|words=15.235125;
046.mp3/17.839688/20.293312/white (trắng)|words=17.839688;
046.mp3/20.293312/23.137187/dark blue (xanh đậm)|words=20.293312,20.533312;
046.mp3/23.137187/25.640125/white (trắng)|words=23.137187;
046.mp3/25.640125/28.499750/light blue (xanh nhạt)|words=25.640125,25.880125;
046.mp3/28.499750/30.974750/paint (sơn)|words=28.499750;
046.mp3/30.974750/33.634500/black (đen)|words=30.974750;
046.mp3/33.634500/37.332437/Listen and repeat (Nghe và lặp lại.)|words=33.634500,33.974500,34.454500;
046.mp3/37.332437/39.765000/paint (sơn)|words=37.332437;
046.mp3/39.765000/42.681750/light blue (xanh nhạt)|words=39.765000,40.025000;
046.mp3/42.681750/45.576250/dark blue (xanh đậm)|words=42.681750,42.921750;
046.mp3/45.576250/48.148000/black (đen)|words=45.576250;
046.mp3/48.148000/51.698937/white (trắng.)|words=48.148000;
