018.mp3/0.000000/1.056312/You (Bạn)|words=0.000000;
018.mp3/1.056312/3.410813/Listening 18 (Nghe 18.)|words=1.056312,1.416312;
018.mp3/3.410813/6.860062/Listen and point (Nghe và chỉ.)|words=3.410813,3.770813,4.270813;
018.mp3/6.860062/9.163125/letter A (Chữ A.)|words=6.860062,7.200062;
018.mp3/9.163125/11.669562/Ah (Ah.)|words=9.163125;
018.mp3/11.669562/13.942438/letter B (Chữ B.)|words=11.669562,11.989562;
018.mp3/13.942438/16.318875/B (B.)|words=13.942438;
018.mp3/16.318875/18.449875/Letter B (Chữ B.)|words=16.318875,16.618875;
018.mp3/18.449875/20.751375/B (B.)|words=18.449875;
018.mp3/20.751375/22.964562/letter A (Chữ A.)|words=20.751375,21.051375;
018.mp3/22.964562/25.225313/Yeah (Yeah)|words=22.964562;
018.mp3/25.225313/28.936063/Listen and repeat (Nghe và lặp lại.)|words=25.225313,25.585313,26.085313;
018.mp3/28.936063/30.985750/Letter A (Chữ A.)|words=28.936063,29.256063;
018.mp3/30.985750/32.840812/Ah (Ah)|words=30.985750;
018.mp3/32.840812/34.421375/Ah (Ah.)|words=32.840812;
018.mp3/34.421375/37.060625/Apple (Apple)|words=34.421375;
018.mp3/37.060625/39.106437/Letter B (Chữ B.)|words=37.060625,37.360625;
018.mp3/39.106437/40.934313/Bye for now (Tạm biệt.)|words=39.106437,39.286437,40.766437;
018.mp3/40.934313/42.329687/B (B)|words=40.934313;
018.mp3/42.329687/44.724750/That (Đó.)|words=42.329687;
018.mp3/44.724750/46.930188/Letter A (Chữ A.)|words=44.724750,45.004750;
018.mp3/46.930188/48.308125/Ah (Ah.)|words=46.930188;
018.mp3/48.308125/49.669125/Ah (Ah)|words=48.308125;
018.mp3/49.669125/52.492188/Annie (Annie.)|words=49.669125;
018.mp3/52.492188/54.678812/Letter B (Chữ B.)|words=52.492188,52.752188;
018.mp3/54.678812/56.114438/B (B.)|words=54.678812;
018.mp3/56.114438/57.819563/B (B)|words=56.114438;
018.mp3/57.819563/61.387750/Ball (Ball.)|words=57.819563;
